cls	gene	meta_long	meta_short	topidp_long	topidp_short
slim	MRS2	0.7363999485969543	0.3483999967575073	0.08755555555555555	-0.121
slim	CYRIB	0.15027499198913574	0.1412999927997589	0.20425	0.01575
slim	ILDR2	0.1451631635427475		0.04889473684210526	
slim	PCSK6	0.6917922496795654		0.15992307692307695	
slim	HSPA1B	0.19387726485729218		0.13104545454545452	
slim	MRPL11	0.18377648293972015		0.16588235294117648	
slim	LYPD6B	0.6466125249862671		-0.00804166666666666	
slim	ICOSLG	0.2910846471786499	0.9385666847229004	-0.20392307692307693	0.1675
slim	SLC8A1	0.08475713431835175		0.03425714285714284	
slim	DDX25	0.3011166751384735		0.07844444444444444	
slim	NBN	0.06531764566898346		-0.08135294117647057	
slim	INKA2	0.3339312672615051	0.8974000215530396	0.05799999999999998	-0.121
slim	SNX9	0.6351633667945862		0.2512666666666667	
slim	AIMP1	0.21983332931995392		-0.15400000000000003	
slim	CTSH	0.5530762672424316		-0.014763157894736853	
slim	ATP5PF	0.47048187255859375	0.4190899729728699	0.08245454545454546	0.298
slim	PEX5L	0.8951999545097351		0.23057142857142857	
slim	NCL	0.9704124927520752		0.252625	
slim	BRCC3	0.646344006061554		0.21875999999999998	
slim	TRAF3IP2	0.9163111448287964		0.318	
slim	MLF1	0.5174160003662109		0.03840000000000002	
slim	LSM14B	0.946538507938385		0.3589487179487179	
slim	DMXL2	0.5455904603004456		0.17709523809523808	
slim	TAFA5	0.5106422901153564	0.23511581122875214	0.12303846153846155	0.0042631578947368385
slim	RDX	0.14530476927757263		0.025666666666666664	
slim	SEPTIN7	0.8853904008865356	0.5710999965667725	0.16590476190476194	0.586
slim	IMPDH1	0.023180769756436348		-0.009730769230769222	
slim	DNM1L	0.405353844165802		0.18707692307692309	
slim	TENT5A	0.8214052319526672		-0.047157894736842114	
slim	TSPAN3	0.053099993616342545		-0.15968000000000002	
slim	MDM1	0.4175199866294861		-0.07470000000000002	
slim	CELF1	0.7430643439292908		0.10432142857142856	
slim	MTCH1	0.5019117593765259		0.23329411764705885	
slim	ZIM2	0.9425063729286194		0.21119354838709678	
slim	PLEKHB2	0.8863875269889832		0.036375000000000005	
slim	MBNL2	0.843844473361969		0.17294444444444446	
slim	SRRT	0.8533599972724915	0.8597000241279602	0.26559999999999995	0.341
slim	SPTAN1	0.23526501655578613		0.16535	
slim	FLNC	0.6893635988235474		0.3757575757575758	
slim	MRPL43	0.20438750088214874	0.8083333969116211	-0.1475	0.17166666666666666
slim	BAZ1A	0.3143156170845032		0.14765625000000002	
slim	OPTN	0.8267499804496765		0.05516666666666667	
slim	HNRNPA2B1	0.5044749975204468		0.3118333333333333	
slim	HLA-C	0.9241166710853577		0.082	
slim	NFATC3	0.9867888689041138	0.4293999671936035	0.20394444444444446	0.047500000000000014
slim	ENSG00000288921	0.24966925382614136		0.10726923076923077	
slim	MYL6B	0.09483636170625687		0.053303030303030303	
slim	MARK2	0.9496239423751831		0.13048	
slim	GULP1	0.5646199584007263	0.5874857306480408	0.02230000000000001	-0.0812857142857143
slim	MEF2C	0.9865687489509583		0.24431250000000004	
slim	MOBP	0.6596875190734863	0.8860999941825867	0.253625	-0.884
