tissue	covariate	ctype	axis	axis_label	single_axis_metric	ceiling_1280	subspace_8axis
brain	nterm_overlap	binary	0	axis0(betaSheet/TM)	0.5133170239746997	0.8356026923306752	0.6175699359329064
brain	nterm_overlap	binary	1	axis1(LRR/Ig)	0.5584617386699104	0.8356026923306752	0.6175699359329064
brain	nterm_overlap	binary	2	axis2(Pro-turn)	0.4455328209886797	0.8356026923306752	0.6175699359329064
brain	nterm_overlap	binary	3	axis3(domain)	0.5326555108071868	0.8356026923306752	0.6175699359329064
brain	nterm_overlap	binary	4	axis4(helix-charge)	0.4383857019801176	0.8356026923306752	0.6175699359329064
brain	nterm_overlap	binary	5	axis5(LENGTH)	0.47641482207267255	0.8356026923306752	0.6175699359329064
brain	nterm_overlap	binary	6	axis6(KRAB-ZNF)	0.4713147262257164	0.8356026923306752	0.6175699359329064
brain	nterm_overlap	binary	7	axis7(acidic-hel)	0.48302893135380087	0.8356026923306752	0.6175699359329064
brain	resync_failure_binary	binary	0	axis0(betaSheet/TM)	0.5279264758355194	0.8488816539926616	0.7423781012701833
brain	resync_failure_binary	binary	1	axis1(LRR/Ig)	0.5079415132329863	0.8488816539926616	0.7423781012701833
brain	resync_failure_binary	binary	2	axis2(Pro-turn)	0.581830840597662	0.8488816539926616	0.7423781012701833
brain	resync_failure_binary	binary	3	axis3(domain)	0.6936977483401936	0.8488816539926616	0.7423781012701833
brain	resync_failure_binary	binary	4	axis4(helix-charge)	0.6148554121747234	0.8488816539926616	0.7423781012701833
brain	resync_failure_binary	binary	5	axis5(LENGTH)	0.5432440198612569	0.8488816539926616	0.7423781012701833
brain	resync_failure_binary	binary	6	axis6(KRAB-ZNF)	0.3585766714757193	0.8488816539926616	0.7423781012701833
brain	resync_failure_binary	binary	7	axis7(acidic-hel)	0.570399096331833	0.8488816539926616	0.7423781012701833
brain	size	cont	0	axis0(betaSheet/TM)	0.07143309233986427	0.7228407552415682	0.4511793717122964
brain	size	cont	1	axis1(LRR/Ig)	0.08204501089130604	0.7228407552415682	0.4511793717122964
brain	size	cont	2	axis2(Pro-turn)	0.11852395319804836	0.7228407552415682	0.4511793717122964
brain	size	cont	3	axis3(domain)	0.3800718043930098	0.7228407552415682	0.4511793717122964
brain	size	cont	4	axis4(helix-charge)	0.15234156629549783	0.7228407552415682	0.4511793717122964
brain	size	cont	5	axis5(LENGTH)	0.03810434204524384	0.7228407552415682	0.4511793717122964
brain	size	cont	6	axis6(KRAB-ZNF)	-0.24764580717301143	0.7228407552415682	0.4511793717122964
brain	size	cont	7	axis7(acidic-hel)	0.08234307075507044	0.7228407552415682	0.4511793717122964
brain	disorder_frac	cont	0	axis0(betaSheet/TM)	0.4105027839058923	0.6258015344712893	0.45562379732347413
brain	disorder_frac	cont	1	axis1(LRR/Ig)	0.1435842298284723	0.6258015344712893	0.45562379732347413
brain	disorder_frac	cont	2	axis2(Pro-turn)	-0.16546779316415292	0.6258015344712893	0.45562379732347413
brain	disorder_frac	cont	3	axis3(domain)	-0.09678362601244941	0.6258015344712893	0.45562379732347413
brain	disorder_frac	cont	4	axis4(helix-charge)	0.09974950439307674	0.6258015344712893	0.45562379732347413
brain	disorder_frac	cont	5	axis5(LENGTH)	-0.2653130924760059	0.6258015344712893	0.45562379732347413
brain	disorder_frac	cont	6	axis6(KRAB-ZNF)	0.08795675573274422	0.6258015344712893	0.45562379732347413
brain	disorder_frac	cont	7	axis7(acidic-hel)	-0.04599064825063184	0.6258015344712893	0.45562379732347413
