tissue	axis	axis_label	covariate	partial_rho	rho_with_size	null_lo	null_hi	null_p	p_bh	survives
brain	0	axis0 (beta-sheet/TM, gene-level)	domain_binary	-0.08994978709941615	0.06468078330135546	-0.007657100224963211	0.01805602257272932	0.0	0.0	True
brain	1	axis1 (LRR/Ig, weak)	domain_binary	0.04067462259908305	0.07221026899848826	-0.008499550148983135	0.01679464607264987	0.0	0.0	True
brain	2	axis2 (Pro-turn order, weak)	domain_binary	0.08730135666297968	0.12026767776270092	0.0015454365043661923	0.025843790144832273	0.0	0.0	True
brain	3	axis3 (domain, KNOWN)	domain_binary	0.20195546203254683	0.32841360461895724	0.015030978272594447	0.041004537321607776	0.0	0.0	True
brain	4	axis4 (helix-charge, weak)	domain_binary	-0.03281606185061696	0.10697314182863267	-0.0030399117051179963	0.021315487275935144	0.0	0.0	True
brain	5	axis5 (length, KNOWN)	domain_binary	0.12593031608730249	0.056397289128608266	-0.006674109483756915	0.017653922013343922	0.0	0.0	True
brain	6	axis6 (KRAB-ZNF/inverse-domain, weak)	domain_binary	-0.10276416912996135	-0.20995565661492777	-0.028389895544949292	-0.0035491502634096743	0.0	0.0	True
brain	7	axis7 (acidic-helical, weak)	domain_binary	-0.052010526725463954	0.07271901267305463	-0.006339357244291292	0.018340451121062806	0.0	0.0	True
brain	0	axis0 (beta-sheet/TM, gene-level)	nterm_overlap	-0.030659946093165396	0.06468078330135546	-0.010824152918642187	0.009745305597713302	0.0	0.0	True
brain	1	axis1 (LRR/Ig, weak)	nterm_overlap	0.03485593342495717	0.07221026899848826	-0.01067042239546011	0.01045117105927919	0.0	0.0	True
brain	2	axis2 (Pro-turn order, weak)	nterm_overlap	-0.06281521444957033	0.12026767776270092	-0.011766627721380502	0.009940786646913086	0.0	0.0	True
brain	3	axis3 (domain, KNOWN)	nterm_overlap	0.023157542819532587	0.32841360461895724	-0.009970685476476435	0.010890690612480769	0.0	0.0	True
brain	4	axis4 (helix-charge, weak)	nterm_overlap	-0.08928412608929742	0.10697314182863267	-0.009879979399618013	0.011106866855003698	0.0	0.0	True
brain	5	axis5 (length, KNOWN)	nterm_overlap	-0.034783815782765216	0.056397289128608266	-0.010618982376117069	0.01084627542927265	0.0	0.0	True
brain	6	axis6 (KRAB-ZNF/inverse-domain, weak)	nterm_overlap	-0.036133824962784486	-0.20995565661492777	-0.011832029945772145	0.009069137847099704	0.0	0.0	True
brain	7	axis7 (acidic-helical, weak)	nterm_overlap	-0.018212031151186407	0.07271901267305463	-0.010645515022544839	0.010353087568774715	0.001	0.001032258064516129	True
brain	0	axis0 (beta-sheet/TM, gene-level)	disorder_frac	0.283355908300608	0.06468078330135546	-0.0030518068713248333	0.010351160785536238	0.0	0.0	True
brain	1	axis1 (LRR/Ig, weak)	disorder_frac	0.11147057257974136	0.07221026899848826	-0.0033567847382576514	0.01115446003050369	0.0	0.0	True
brain	2	axis2 (Pro-turn order, weak)	disorder_frac	-0.07018239838623502	0.12026767776270092	-0.0013705237800870308	0.013778655777559783	0.0	0.0	True
brain	3	axis3 (domain, KNOWN)	disorder_frac	-0.04383759490661291	0.32841360461895724	0.005738064925620109	0.02059771146151473	0.0	0.0	True
brain	4	axis4 (helix-charge, weak)	disorder_frac	0.04870423903171581	0.10697314182863267	-0.006146395261884272	0.010899028742290873	0.0	0.0	True
brain	5	axis5 (length, KNOWN)	disorder_frac	-0.1663766211874943	0.056397289128608266	-0.007058542111001488	0.007918771001224255	0.0	0.0	True
brain	6	axis6 (KRAB-ZNF/inverse-domain, weak)	disorder_frac	0.05110469535263693	-0.20995565661492777	-0.012695794283221627	0.003278269621862609	0.0	0.0	True
brain	7	axis7 (acidic-helical, weak)	disorder_frac	-0.015356908692022534	0.07271901267305463	-0.004122444979108893	0.011149213262138236	0.0	0.0	True
brain	0	axis0 (beta-sheet/TM, gene-level)	resync_failure_binary	0.025331617266587607	0.06468078330135546	-0.0046686676182343114	0.012137891156495276	0.0	0.0	True
brain	1	axis1 (LRR/Ig, weak)	resync_failure_binary	-0.007901417751632138	0.07221026899848826	-0.007307179459755913	0.011204375140600638	0.112	0.112	False
brain	2	axis2 (Pro-turn order, weak)	resync_failure_binary	0.07509648416525737	0.12026767776270092	0.00030540873369583083	0.01832082407311112	0.0	0.0	True
brain	3	axis3 (domain, KNOWN)	resync_failure_binary	0.1479662934464312	0.32841360461895724	0.01876299472423034	0.036283338959800876	0.0	0.0	True
brain	4	axis4 (helix-charge, weak)	resync_failure_binary	0.10512294522296804	0.10697314182863267	0.003335833376976795	0.021390952654365126	0.0	0.0	True
brain	5	axis5 (length, KNOWN)	resync_failure_binary	0.056598022921329275	0.056397289128608266	-0.0017826788744069312	0.016293888627865263	0.0	0.0	True
brain	6	axis6 (KRAB-ZNF/inverse-domain, weak)	resync_failure_binary	-0.12256587576190678	-0.20995565661492777	-0.032616800160032225	-0.015125681291648051	0.0	0.0	True
brain	7	axis7 (acidic-helical, weak)	resync_failure_binary	0.059807381699563525	0.07271901267305463	-0.004476473923199315	0.01221249451730607	0.0	0.0	True
