sample	condition	cluster	layer	n_cells	RBFOX1	RBFOX2
PO15	Control	19	L5	20	3.653904914855957	1.547634482383728
PO15	Control	26	L5	13	3.980365514755249	1.6864445209503174
PO15	Control	25	L6	13	3.6320912837982178	1.7022826671600342
PO15	Control	20	Unclassified	16	4.017794609069824	1.5817980766296387
PO20	Control	1	L2/3	145	4.150378227233887	1.2306334972381592
PO20	Control	2	L2/3	258	4.206975936889648	1.2826011180877686
PO20	Control	27	L2/3	62	4.078876495361328	1.4027204513549805
PO20	Control	10	L4	220	3.893289089202881	1.4155036211013794
PO20	Control	11	L4	211	4.106895446777344	1.450977087020874
PO20	Control	18	L4	39	3.3310840129852295	1.4167661666870117
PO20	Control	19	L5	172	4.024216175079346	1.2966012954711914
PO20	Control	26	L5	41	4.284023284912109	1.4569754600524902
PO20	Control	25	L6	67	3.725421190261841	1.5009223222732544
PO20	Control	20	Unclassified	239	4.163025379180908	1.324369192123413
PO23	Control	1	L2/3	435	4.124785423278809	1.4911220073699951
PO23	Control	2	L2/3	704	4.269202709197998	1.556983232498169
PO23	Control	27	L2/3	29	4.029582977294922	1.4752424955368042
PO23	Control	10	L4	62	3.7734999656677246	1.7020773887634277
PO23	Control	11	L4	185	4.108989715576172	1.6501550674438477
PO23	Control	18	L4	17	3.051398277282715	1.5920042991638184
PO23	Control	19	L5	61	3.98722767829895	1.4923250675201416
PO23	Control	26	L5	27	3.9438886642456055	1.825547695159912
PO23	Control	25	L6	9	3.898374557495117	1.6641321182250977
PO23	Control	20	Unclassified	76	4.1534647941589355	1.556057095527649
PO28	AD	1	L2/3	98	4.112091541290283	1.4807499647140503
PO28	AD	2	L2/3	642	4.219021797180176	1.5515258312225342
PO28	AD	27	L2/3	36	4.2058587074279785	1.5941016674041748
PO28	AD	10	L4	321	3.596951961517334	1.650099754333496
PO28	AD	11	L4	356	4.031164646148682	1.624532699584961
PO28	AD	18	L4	127	2.931101083755493	1.668550729751587
PO28	AD	19	L5	64	3.9672532081604004	1.478755235671997
PO28	AD	26	L5	63	4.087253093719482	1.7534338235855103
PO28	AD	25	L6	63	3.7923357486724854	1.6504398584365845
