gene	cell_type	tier	cluster_id	subtype	layer	delta	stager_p	perm_p	cluster_AD_delta	cluster_mwu_p	mechanism	co_enrichment_score
IFT122	Excitatory	A-BP	18	L4 IT atypical	L4	-0.2172		0.007	4.57	0.00994	Complex I / GEF	0.992604
IFT122	Excitatory	A-BP	19	L5 ET	L5	-0.2172		0.007	-4.46	0.01265	Complex I / GEF	-0.968712
IFT122	Excitatory	A-BP	20	Unclassified	Mixed	-0.2172		0.007	-2.89	0.23196	Complex I / GEF	-0.627708
IFT122	Excitatory	A-BP	25	L6 CT	L6	-0.2172		0.007	0.18	0.7501	Complex I / GEF	0.039096
IFT122	Excitatory	A-BP	26	L5 ET	L5	-0.2172		0.007	0.16	0.91553	Complex I / GEF	0.034752
IFT122	Excitatory	A-BP	27	L2/3 IT	L2/3	-0.2172		0.007	-0.55	0.80444	Complex I / GEF	-0.11946000000000001
NDUFS7	Excitatory	A-BP	1	L2/3 IT	L2/3	-0.0463		0.0482	-0.68	0.97177	Complex I / GEF	-0.031484000000000005
NDUFS7	Excitatory	A-BP	2	L2/3 IT	L2/3	-0.0463		0.0482	-2.89	0.80444	Complex I / GEF	-0.133807
NDUFS7	Excitatory	A-BP	10	L4 IT	L4	-0.0463		0.0482	3.37	0.12125	Complex I / GEF	0.156031
NDUFS7	Excitatory	A-BP	11	L4 IT	L4	-0.0463		0.0482	3.18	0.08905	Complex I / GEF	0.147234
NDUFS7	Excitatory	A-BP	18	L4 IT atypical	L4	-0.0463		0.0482	4.57	0.00994	Complex I / GEF	0.21159100000000003
NDUFS7	Excitatory	A-BP	19	L5 ET	L5	-0.0463		0.0482	-4.46	0.01265	Complex I / GEF	-0.20649800000000001
NDUFS7	Excitatory	A-BP	20	Unclassified	Mixed	-0.0463		0.0482	-2.89	0.23196	Complex I / GEF	-0.133807
NDUFS7	Excitatory	A-BP	25	L6 CT	L6	-0.0463		0.0482	0.18	0.7501	Complex I / GEF	0.008334
NDUFS7	Excitatory	A-BP	26	L5 ET	L5	-0.0463		0.0482	0.16	0.91553	Complex I / GEF	0.0074080000000000005
NDUFS7	Excitatory	A-BP	27	L2/3 IT	L2/3	-0.0463		0.0482	-0.55	0.80444	Complex I / GEF	-0.025465
NDUFS8	Inhibitory	A-BP	7	PV	L3-5	-0.3694		0.0044	0.0	1.0	Complex I / GEF	0.0
NDUFS8	Inhibitory	A-BP	8	VIP	L1-3	-0.3694		0.0044	0.0	1.0	Complex I / GEF	0.0
NDUFS8	Inhibitory	A-BP	9	SST	L3-5	-0.3694		0.0044	0.0	1.0	Complex I / GEF	0.0
NDUFS8	Inhibitory	A-BP	13	LAMP5/NDNF	L1	-0.3694		0.0044	0.0	1.0	Complex I / GEF	0.0
NDUFS8	Inhibitory	A-BP	15	LAMP5/KIT	L1-2	-0.3694		0.0044	0.0	1.0	Complex I / GEF	0.0
NDUFS8	Inhibitory	A-BP	16	VIP	L1-3	-0.3694		0.0044	0.0	1.0	Complex I / GEF	0.0
NDUFS8	Inhibitory	A-BP	21	PV	L3-5	-0.3694		0.0044	0.0	1.0	Complex I / GEF	0.0
NDUFS8	Inhibitory	A-BP	22	LAMP5/LHX6	L2-3	-0.3694		0.0044	0.0	1.0	Complex I / GEF	0.0
NDUFS8	Inhibitory	A-BP	24	CGE-derived misc	L2-4	-0.3694		0.0044	0.0	1.0	Complex I / GEF	0.0
NDUFS4	Inhibitory	A-BP	7	PV	L3-5	-0.3204		0.0236	0.0	1.0	Complex I / GEF	0.0
NDUFS4	Inhibitory	A-BP	8	VIP	L1-3	-0.3204		0.0236	0.0	1.0	Complex I / GEF	0.0
NDUFS4	Inhibitory	A-BP	9	SST	L3-5	-0.3204		0.0236	0.0	1.0	Complex I / GEF	0.0
NDUFS4	Inhibitory	A-BP	13	LAMP5/NDNF	L1	-0.3204		0.0236	0.0	1.0	Complex I / GEF	0.0
NDUFS4	Inhibitory	A-BP	15	LAMP5/KIT	L1-2	-0.3204		0.0236	0.0	1.0	Complex I / GEF	0.0
NDUFS4	Inhibitory	A-BP	16	VIP	L1-3	-0.3204		0.0236	0.0	1.0	Complex I / GEF	0.0
NDUFS4	Inhibitory	A-BP	21	PV	L3-5	-0.3204		0.0236	0.0	1.0	Complex I / GEF	0.0
NDUFS4	Inhibitory	A-BP	22	LAMP5/LHX6	L2-3	-0.3204		0.0236	0.0	1.0	Complex I / GEF	0.0
NDUFS4	Inhibitory	A-BP	24	CGE-derived misc	L2-4	-0.3204		0.0236	0.0	1.0	Complex I / GEF	0.0
DLG1	OPC	C	6	OPC	WM/L6	-0.4306		0.0561	0.0	1.0		0.0
DLG1	OPC	C	31	Immature OL	WM/L6	-0.4306		0.0561	0.0	1.0		0.0
NDUFS4	Excitatory	C	1	L2/3 IT	L2/3	-0.25		0.5023	-0.68	0.97177		-0.17
NDUFS4	Excitatory	C	2	L2/3 IT	L2/3	-0.25		0.5023	-2.89	0.80444		-0.7225
NDUFS4	Excitatory	C	10	L4 IT	L4	-0.25		0.5023	3.37	0.12125		0.8425
NDUFS4	Excitatory	C	11	L4 IT	L4	-0.25		0.5023	3.18	0.08905		0.795
NDUFS4	Excitatory	C	18	L4 IT atypical	L4	-0.25		0.5023	4.57	0.00994		1.1425
NDUFS4	Excitatory	C	19	L5 ET	L5	-0.25		0.5023	-4.46	0.01265		-1.115
NDUFS4	Excitatory	C	20	Unclassified	Mixed	-0.25		0.5023	-2.89	0.23196		-0.7225
NDUFS4	Excitatory	C	25	L6 CT	L6	-0.25		0.5023	0.18	0.7501		0.045
NDUFS4	Excitatory	C	26	L5 ET	L5	-0.25		0.5023	0.16	0.91553		0.04
NDUFS4	Excitatory	C	27	L2/3 IT	L2/3	-0.25		0.5023	-0.55	0.80444		-0.1375
KIF21B	Excitatory	C	1	L2/3 IT	L2/3	-0.4333		0.113	-0.68	0.97177		-0.294644
KIF21B	Excitatory	C	2	L2/3 IT	L2/3	-0.4333		0.113	-2.89	0.80444		-1.252237
KIF21B	Excitatory	C	10	L4 IT	L4	-0.4333		0.113	3.37	0.12125		1.4602210000000002
KIF21B	Excitatory	C	11	L4 IT	L4	-0.4333		0.113	3.18	0.08905		1.3778940000000002
KIF21B	Excitatory	C	18	L4 IT atypical	L4	-0.4333		0.113	4.57	0.00994		1.9801810000000002
