174	214481	27
175	320353	27
176	319307	27
177	214555	27
178	197477	27
179	128520	27
180	319290	26
181	214655	26
182	307574	26
183	306518	26
184	308412	26
185	306660	26
186	315989	26
187	270116	26
188	214504	26
189	306989	26
190	307022	26
191	306717	26
192	307999	25
193	306648	25
194	99902	25
195	306569	25
196	197943	25
197	320543	25
198	270117	25
199	315148	25
200	307553	25
201	128590	25
202	128673	25
203	143193	24
204	238040	24
205	128789	24
206	307924	24
207	306816	24
208	240441	24
209	310839	24
210	238083	24
211	269838	24
212	240853	24
213	212559	24
214	318215	24
215	175974	24
216	197676	24
217	143641	24
218	309362	24
219	314861	24
220	315167	23
221	214533	23
222	241082	23
223	306677	23
224	214789	23
225	312240	23
226	239801	23
227	279036	23
228	128947	23
229	238075	23
230	307256	23
231	214564	23
232	308565	23
233	176020	23
234	175984	23
235	311875	23
236	176002	23
237	128645	23
238	307632	22
239	197624	22
240	214587	22
241	238007	22
242	307763	22
243	311910	22
244	214531	22
245	188715	22
246	188716	22
247	306905	22
248	312022	22
249	214521	22
250	238046	21
251	318205	21
252	241078	21
253	315537	21
254	320002	21
255	307072	21
256	143265	21
257	197660	21
258	188714	21
259	188713	21
260	310345	21
261	313694	21
262	315580	21
263	132787	21
264	239897	21
265	238037	20
266	306548	20
267	238583	20
268	320350	20
269	320605	20
270	237999	20
271	307282	20
272	214579	20
273	197544	20
274	222983	20
275	175978	20
276	307522	20
277	307065	20
278	307313	19
279	128373	19
280	311913	19
281	128778	19
282	308439	19
283	223729	19
284	153061	19
285	241075	19
286	197585	19
287	214518	19
288	223796	19
289	308673	19
290	307139	19
291	214763	19
292	278520	19
293	308118	19
294	315323	19
295	313755	19
296	318649	19
297	275406	19
298	314959	19
299	214706	19
300	197673	19
301	311876	19
302	175985	19
303	176019	19
304	306748	19
305	188677	19
306	308031	19
307	273347	19
308	307239	18
309	306584	18
310	307788	18
311	214723	18
312	308029	18
313	276816	18
314	214473	18
315	306815	18
316	306918	18
317	311482	18
318	320578	18
319	313502	18
320	314708	18
321	316196	18
322	308870	18
323	214823	18
324	307193	18
325	214543	18
326	143266	18
327	307500	18
328	197566	18
329	313607	18
330	214777	18
331	153295	18
332	308391	18
333	312003	18
334	132781	18
335	314757	18
336	306940	17
337	311575	17
338	306673	17
339	308952	17
340	223738	17
341	197651	17
342	238053	17
343	214632	17
344	119392	17
345	307994	17
346	278476	17
347	197519	17
348	100121	17
349	309082	17
350	320354	17
351	308039	17
352	238131	17
353	312039	17
354	308587	17
355	215024	17
356	311625	17
357	99783	17
358	307783	17
359	320004	17
360	214602	17
361	223627	17
362	238087	17
363	214976	17
364	128326	17
365	318632	17
366	173789	17
367	313034	17
368	197399	17
369	310430	16
370	197784	16
371	311553	16
372	278457	16
373	306578	16
374	308200	16
375	306962	16
376	309587	16
377	280935	16
378	310520	16
379	312271	16
380	308533	16
381	238064	16
382	307465	16
383	270061	16
384	310983	16
385	308026	16
386	308015	16
387	197794	16
388	278741	16
389	197605	16
390	317276	16
391	238114	16
392	238585	16
393	238584	16
394	278486	16
395	214523	16
396	277013	16
397	311888	16
398	213015	16
399	143546	16
400	239130	16
