backbone	motif	insert_frac	ratio	insert_len	full_len
70	Nucleoplasmin_NLS	0.03131115459882583	0.076407366	16	511
70	SV40_NLS	0.013944223107569721	0.06511323	7	502
70	cMyc_NLS	0.017857142857142856	0.0771062	9	504
71	Nucleoplasmin_NLS	0.026845637583892617	0.1397099	16	596
71	SV40_NLS	0.01192504258943782	0.19679755	7	587
71	cMyc_NLS	0.015280135823429542	0.15131654	9	589
72	Nucleoplasmin_NLS	0.017204301075268817	0.05414504	16	930
72	cMyc_NLS	0.009750812567713976	0.22517793	9	923
73	Nucleoplasmin_NLS	0.07476635514018691	0.16289519	16	214
73	SV40_NLS	0.03414634146341464	0.13719146	7	205
73	cMyc_NLS	0.043478260869565216	0.17394526	9	207
74	Nucleoplasmin_NLS	0.016877637130801686	0.079375245	16	948
74	SV40_NLS	0.007454739084132056	0.03075551	7	939
74	cMyc_NLS	0.009564293304994687	0.05977182	9	941
75	Nucleoplasmin_NLS	0.032520325203252036	0.08087413	16	492
75	SV40_NLS	0.014492753623188406	0.055591524	7	483
75	cMyc_NLS	0.018556701030927835	0.057973687	9	485
77	Nucleoplasmin_NLS	0.03225806451612903	0.20093866	16	496
77	SV40_NLS	0.014373716632443531	0.15932544	7	487
77	cMyc_NLS	0.018404907975460124	0.22353642	9	489
78	Nucleoplasmin_NLS	0.041666666666666664	0.18000409	16	384
78	SV40_NLS	0.018666666666666668	0.3619927	7	375
78	cMyc_NLS	0.023872679045092837	0.25433323	9	377
79	Nucleoplasmin_NLS	0.023391812865497075	0.086306885	16	684
79	SV40_NLS	0.01037037037037037	0.04411933	7	675
79	cMyc_NLS	0.013293943870014771	0.16307513	9	677
80	Nucleoplasmin_NLS	0.017204301075268817	0.16898854	16	930
80	cMyc_NLS	0.009750812567713976	0.12597033	9	923
81	Nucleoplasmin_NLS	0.07582938388625593	0.26877558	16	211
81	SV40_NLS	0.034653465346534656	0.22169815	7	202
81	cMyc_NLS	0.04411764705882353	0.41020802	9	204
82	Nucleoplasmin_NLS	0.053156146179401995	0.15405978	16	301
82	SV40_NLS	0.023972602739726026	0.054317147	7	292
82	cMyc_NLS	0.030612244897959183	0.14566256	9	294
