sample	condition	cluster	layer	PRSS12	AGRN	KIF21B	RBFOX1	APP	NRG1
SMC036	AD	19	L5	0.0	0.040016576647758484	0.25063052773475647	4.0259623527526855	1.5397707223892212	3.0512773990631104
SMC037	Active control	18	L4	0.27672120928764343	0.06441498547792435	0.24597227573394775	3.281261444091797	1.945655107498169	1.49387526512146
SMC037	Active control	10	L4	0.05155756697058678	0.08158418536186218	0.2171567976474762	3.617177724838257	1.5100139379501343	2.1278131008148193
SMC037	Active control	11	L4	0.03574609383940697	0.04103832691907883	0.19946935772895813	3.9855053424835205	1.6668622493743896	2.2936768531799316
SMC037	Active control	19	L5	0.0	0.02969517558813095	0.17421680688858032	3.9091122150421143	1.5612021684646606	2.515148401260376
SMC038	AD	18	L4	0.3348020315170288	0.10440771281719208	0.32024767994880676	3.302426815032959	1.872599720954895	1.1379518508911133
SMC038	AD	10	L4	0.07835491001605988	0.06551757454872131	0.2275853306055069	3.6166558265686035	1.5807087421417236	1.8554033041000366
SMC038	AD	11	L4	0.03996473550796509	0.0483727902173996	0.20920483767986298	3.9784982204437256	1.6923003196716309	2.319382429122925
SMC038	AD	19	L5	0.0	0.042852021753787994	0.21831390261650085	4.03031063079834	1.5900874137878418	2.154855251312256
SMC039	AD	18	L4	0.3098856508731842	0.12463080137968063	0.3604673445224762	2.5963399410247803	1.860959768295288	0.7971255779266357
SMC039	AD	10	L4	0.0979294627904892	0.09308208525180817	0.18154771625995636	3.298335313796997	1.362080693244934	0.9849812388420105
SMC039	AD	11	L4	0.04026198387145996	0.020584383979439735	0.2002246230840683	3.772564172744751	1.4631636142730713	1.9453730583190918
SMC039	AD	19	L5	0.0	0.03799938037991524	0.03799938037991524	3.6619138717651367	1.5914952754974365	1.55231511592865
SMC041	AD	18	L4	0.3241513967514038	0.18031460046768188	0.3094305098056793	2.652162551879883	1.897937536239624	1.2953133583068848
SMC041	AD	10	L4	0.14622452855110168	0.11800730228424072	0.16347377002239227	3.529913902282715	1.568359136581421	1.8652671575546265
SMC041	AD	11	L4	0.025223510339856148	0.0643976479768753	0.1767476201057434	3.8806843757629395	1.598405361175537	2.42730712890625
SMC041	AD	19	L5	0.022100353613495827	0.04124068096280098	0.22160738706588745	3.8976244926452637	1.6053998470306396	2.550220012664795
SMC043	AD	18	L4	0.21177607774734497	0.08845588564872742	0.5928022861480713	2.6356568336486816	1.247525691986084	1.4893248081207275
SMC043	AD	10	L4	0.07230743765830994	0.1529785394668579	0.43090254068374634	3.5518808364868164	1.3400824069976807	1.7024258375167847
SMC043	AD	11	L4	0.13701021671295166	0.07926251739263535	0.0	3.8603250980377197	1.1378098726272583	2.449442148208618
SMC049	AD	18	L4	0.28937941789627075	0.10788080096244812	0.2401137351989746	2.6168317794799805	1.9793987274169922	1.551563024520874
SMC049	AD	10	L4	0.08597518503665924	0.09291474521160126	0.11437947303056717	3.3026161193847656	1.5585981607437134	1.5638846158981323
SMC049	AD	11	L4	0.04084362834692001	0.029801717028021812	0.1660400927066803	3.6832761764526367	1.7144184112548828	2.1278226375579834
SMC049	AD	19	L5	0.0	0.04386631399393082	0.2026720643043518	3.696422815322876	1.645469307899475	2.0273096561431885
SMC052	Control	18	L4	0.3662378191947937	0.1893225610256195	0.26205331087112427	3.223464250564575	1.8812536001205444	1.7442342042922974
SMC052	Control	10	L4	0.07138675451278687	0.1153954565525055	0.18460693955421448	3.6558542251586914	1.451266884803772	1.8804891109466553
SMC052	Control	11	L4	0.06940461695194244	0.12342710793018341	0.24086762964725494	4.074936866760254	1.6251256465911865	2.6035709381103516
SMC052	Control	19	L5	0.00806339830160141	0.056352801620960236	0.2064945548772812	3.79042387008667	1.502895712852478	2.2601497173309326
SMC053	Active control	18	L4	0.2742769420146942	0.0899362564086914	0.3056095242500305	3.3328123092651367	2.003612756729126	1.2298641204833984
SMC053	Active control	10	L4	0.08850473165512085	0.08312582224607468	0.25364524126052856	3.5940558910369873	1.636930227279663	1.901951551437378
SMC053	Active control	11	L4	0.06799817085266113	0.0400179885327816	0.21864613890647888	3.8113789558410645	1.8392629623413086	2.521752119064331
SMC053	Active control	19	L5	0.005176829639822245	0.023276859894394875	0.2597537338733673	3.838580846786499	1.6747591495513916	2.1613175868988037
